代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),总市值(元),A股流通股本(股),市盈率
600000.SH,浦发银行,2016-01-04,16.1356,16.1444,16.1444,15.4997,15.7205,42240610,754425783,-0.4151,-2.5725,17.8602,0.2264,3.32032E+11,3.32032E+11,18653471415,6.5614
600000.SH,浦发银行,2016-01-05,15.7205,15.4644,15.9501,15.3672,15.8618,58054793,1034181474,0.1413,0.8989,17.8139,0.3112,3.35016E+11,3.35016E+11,18653471415,6.6204
600000.SH,浦发银行,2016-01-06,15.8618,15.8088,16.0208,15.6234,15.9855,46772653,838667398,0.1236,0.7795,17.9307,0.2507,3.37628E+11,3.37628E+11,18653471415,6.672
600000.SH,浦发银行,2016-01-07,15.9855,15.7205,15.8088,15.3672,15.4644,11350479,199502702,-0.5211,-3.2597,17.5766,0.0608,3.26622E+11,3.26622E+11,18653471415,6.4545
600000.SH,浦发银行,2016-01-08,15.4644,15.6675,15.7912,14.9345,15.4467,71918296,1262105060,-0.0177,-0.1142,17.5492,0.3855,3.26249E+11,3.26249E+11,18653471415,6.4471
600000.SH,浦发银行,2016-01-11,15.4467,15.1994,15.4114,14.9786,15.0581,90177135,1550155933,-0.3886,-2.5157,17.1901,0.4834,3.18042E+11,3.18042E+11,18653471415,6.2849
600000.SH,浦发银行,2016-01-12,15.0581,15.1641,15.4732,15.0846,15.4114,55374454,964061502,0.3533,2.346,17.4099,0.2969,3.25503E+11,3.25503E+11,18653471415,6.4324
600000.SH,浦发银行,2016-01-13,15.4114,15.5174,15.8088,15.3231,15.3584,47869312,843717365,-0.053,-0.3438,17.6254,0.2566,3.24384E+11,3.24384E+11,18653471415,6.4102
600000.SH,浦发银行,2016-01-14,15.3584,15.014,15.8883,14.9168,15.8265,54838833,966117848,0.4681,3.0477,17.6174,0.294,3.3427E+11,3.3427E+11,18653471415,6.6056
600000.SH,浦发银行,2016-01-15,15.8265,15.7205,16.0296,15.4732,15.5262,46723139,836146426,-0.3003,-1.8973,17.8958,0.2505,3.27928E+11,3.27928E+11,18653471415,6.4803
600000.SH,浦发银行,2016-01-18,15.5262,15.3937,15.8883,15.2966,15.6145,32729006,583291559,0.0883,0.5688,17.8219,0.1755,3.29793E+11,3.29793E+11,18653471415,6.5171
600000.SH,浦发银行,2016-01-19,15.6145,15.7029,15.7912,15.4556,15.694,29807159,527753175,0.0795,0.509,17.7056,0.1598,3.31472E+11,3.31472E+11,18653471415,6.5503
600000.SH,浦发银行,2016-01-20,15.694,15.5527,15.6322,15.0846,15.2348,35968636,623546924,-0.4593,-2.9263,17.3359,0.1928,3.21772E+11,3.21772E+11,18653471415,6.3586
600000.SH,浦发银行,2016-01-21,15.2348,15.2083,15.4202,14.5724,14.643,34197115,582845476,-0.5917,-3.8841,17.0437,0.1833,3.09275E+11,3.09275E+11,18653471415,6.1117
600000.SH,浦发银行,2016-01-22,14.643,14.8727,15.1111,14.5636,15.0316,42007318,708179241,0.3886,2.6538,16.8585,0.2252,3.17482E+11,3.17482E+11,18653471415,6.2739
600000.SH,浦发银行,2016-01-25,15.0316,15.014,15.1641,14.7667,15.0405,23558971,400445071,0.0088,0.0588,16.9976,0.1263,3.17669E+11,3.17669E+11,18653471415,6.2775
600000.SH,浦发银行,2016-01-26,15.0405,14.9786,15.1376,14.4841,14.7137,38279766,643611762,-0.3268,-2.1726,16.8134,0.2052,3.10767E+11,3.10767E+11,18653471415,6.1412
600000.SH,浦发银行,2016-01-27,14.7137,14.7932,14.9963,14.5812,14.7314,44291307,742640743,0.0177,0.12,16.7672,0.2374,3.1114E+11,3.1114E+11,18653471415,6.1485
600000.SH,浦发银行,2016-01-28,14.7314,14.802,14.855,14.0248,14.643,38902180,643984171,-0.0883,-0.5995,16.5539,0.2086,3.09275E+11,3.09275E+11,18653471415,6.1117
600000.SH,浦发银行,2016-01-29,14.643,14.5901,15.0581,14.4929,14.9257,47429000,799493381,0.2826,1.93,16.8566,0.2543,3.15244E+11,3.15244E+11,18653471415,6.2296
600000.SH,浦发银行,2016-02-01,14.9257,15.0051,15.014,14.4929,14.5724,29139596,485275132,-0.3533,-2.3669,16.6535,0.1562,3.07782E+11,3.07782E+11,18653471415,6.0822
600000.SH,浦发银行,2016-02-02,14.5724,14.5724,14.961,14.5371,14.802,25380981,425396889,0.2296,1.5758,16.7605,0.1361,3.12632E+11,3.12632E+11,18653471415,6.178
600000.SH,浦发银行,2016-02-03,14.802,14.6607,14.7137,14.5282,14.6695,27779183,459255616,-0.1325,-0.895,16.5324,0.1489,3.09834E+11,3.09834E+11,18653471415,6.1227
600000.SH,浦发银行,2016-02-04,14.6695,14.8727,15.2966,14.6872,15.2789,47162860,799283799,0.6094,4.1541,16.9473,0.2528,3.22705E+11,3.22705E+11,18653471415,6.3771
600000.SH,浦发银行,2016-02-05,15.2789,15.2259,16.2416,15.1465,16.2328,78413454,1401156041,0.9538,6.2428,17.8688,0.4204,3.42851E+11,3.42851E+11,18653471415,6.7752
600000.SH,浦发银行,2016-02-15,16.2328,15.8795,16.3211,15.7205,16.2946,67296317,1221398339,0.0618,0.3808,18.1496,0.3608,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-16,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-17,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-18,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-19,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-22,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-23,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-24,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-25,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-26,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-02-29,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-03-01,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
600000.SH,浦发银行,2016-03-02,16.2946,16.2946,16.2946,16.2946,16.2946,--,--,0,0,--,--,3.44157E+11,3.44157E+11,18653471415,6.801
