OrderNumber,LineNumber,Model
cumid51178,1,山地英骑
cumid51178,2,山地车水壶架
cumid51178,3,运动水壶
cumid51184,1,山地英骑
cumid51184,2,hl山地外胎
cumid51184,3,山地车内胎
cumid51184,4,运动型头盔
cumid51181,1,普通公路车
cumid51181,2,公路车内胎
cumid51181,3,hl公路外胎
cumid51181,4,运动型头盔
cumid51188,1,竞速公路车
cumid51180,1,普通公路车
cumid51180,2,公路车水壶架
cumid51180,3,运动水壶
cumid51180,4,运动型头盔
cumid51180,5,长袖骑车衣
cumid51176,1,普通公路车
cumid51176,2,公路车水壶架
cumid51198,1,山地英骑
cumid51198,2,山地车水壶架
cumid51198,3,运动水壶
cumid51193,1,山地英骑
cumid51193,2,山地车挡泥板
cumid51194,1,山地英骑
cumid51194,2,山地车挡泥板
cumid51194,3,运动型头盔
cumid51192,1,山地英骑
cumid51192,2,运动型头盔
cumid51197,1,山地英骑
cumid51197,2,山地车水壶架
cumid51197,3,运动水壶
cumid51197,4,自行车帽
cumid51195,1,山地车400
cumid51195,2,山地车内胎
cumid51195,3,ml山地外胎
cumid51215,1,山地英骑
cumid51215,2,hl山地外胎
cumid51216,1,山地英骑
cumid51216,2,山地车挡泥板
cumid51216,3,山地车水壶架
cumid51216,4,运动水壶
cumid51216,5,自行车帽
cumid51205,1,山地英骑
cumid51205,2,山地车水壶架
cumid51205,3,运动水壶
cumid51205,4,运动型头盔
cumid51210,1,山地英骑
cumid51210,2,运动型头盔
cumid51207,1,山地英骑
cumid51207,2,山地车水壶架
cumid51207,3,运动水壶
cumid51207,4,运动型头盔
cumid51206,1,山地英骑
cumid51206,2,山地车水壶架
cumid51206,3,运动水壶
cumid51206,4,自行车帽
cumid51217,1,山地英骑
cumid51217,2,山地车内胎
cumid51217,3,hl山地外胎
cumid51217,4,修补工具
cumid51218,1,山地车500
cumid51221,1,公路车550
cumid51221,2,自行车帽
cumid51221,3,短袖经典车衣
cumid51211,1,旅游型自行车(大)
cumid51211,2,竞速袜
cumid51203,1,普通公路车
cumid51203,2,公路车水壶架
cumid51203,3,运动水壶
cumid51204,1,普通公路车
cumid51209,4,半掌手套
cumid51209,3,运动型头盔
cumid51209,2,山地车挡泥板
cumid51209,1,山地车500
cumid51191,4,运动型头盔
cumid51191,3,运动水壶
cumid51191,2,山地车水壶架
cumid51191,1,山地英骑
cumid51183,2,长袖骑车衣
cumid51183,1,公路车350
cumid51214,1,竞速公路车
cumid51214,2,公路车水壶架
cumid51214,3,运动水壶
cumid51196,5,长袖骑车衣
cumid51196,4,运动型头盔
cumid51196,3,运动水壶
cumid51196,2,公路车水壶架
cumid51196,1,竞速公路车
cumid51189,3,半掌手套
cumid51189,2,运动型头盔
cumid51189,1,普通公路车
cumid51190,3,ml公路外胎
cumid51190,2,公路车内胎
cumid51190,1,公路车350
cumid51238,1,山地英骑
cumid51237,1,山地英骑
cumid51237,2,山地车水壶架
cumid51237,3,运动水壶
cumid51237,4,运动型头盔
cumid51239,1,山地英骑
cumid51239,2,水壶包
cumid51235,1,山地英骑
