house_id,neighborhood,area,bedrooms,bathrooms,style,price
1112,B,1188,3,2,ranch,598291
491,B,3512,5,3,victorian,1744259
5952,B,1134,3,2,ranch,571669
3525,A,1940,4,2,ranch,493675
5108,B,2208,6,4,victorian,1101539
7507,C,1785,4,2,lodge,455235
4964,B,2996,5,3,victorian,1489871
7627,C,3263,5,3,victorian,821931
6571,A,1159,3,2,ranch,299903
5220,A,1248,3,2,victorian,321975
3223,A,3432,6,4,victorian,863995
1540,A,3853,5,3,victorian,968251
2795,A,2275,4,2,ranch,576755
3691,B,698,0,0,lodge,356333
3460,A,260,1,0,lodge,76647
7485,A,1472,2,1,victorian,377375
1782,C,4380,6,4,victorian,1099099
699,A,1956,4,2,victorian,497643
4245,A,3318,5,3,victorian,835571
6510,B,40,1,0,lodge,32023
7128,C,2901,5,3,victorian,732155
4596,B,2017,4,2,victorian,1007072
583,B,4456,7,4,victorian,2209887
3153,C,1150,3,2,ranch,297671
5378,B,2735,6,4,victorian,1361350
6265,B,1174,3,2,ranch,591389
7595,C,1566,4,2,victorian,400923
2333,A,4203,5,3,victorian,1055051
7908,B,3335,5,3,victorian,1656998
6768,A,1307,3,2,lodge,336607
5478,B,3509,5,3,victorian,1742780
859,C,1862,4,2,victorian,474331
2847,B,845,0,0,lodge,428804
625,A,1760,4,2,victorian,449035
4512,C,1036,2,1,ranch,269247
7294,A,1061,2,1,ranch,275447
1615,C,2735,5,3,victorian,690987
299,A,1166,3,2,ranch,301639
1262,A,2190,4,2,victorian,555675
7924,B,4620,6,4,victorian,2290655
3090,A,1694,4,2,victorian,432667
6206,B,1149,2,1,ranch,578912
906,A,2310,4,2,victorian,585435
3452,A,2,1,0,lodge,12663
5717,C,3864,5,3,victorian,970979
5413,B,2859,5,3,victorian,1422330
3126,C,1826,6,4,victorian,465707
7601,C,2006,4,2,victorian,510043
5134,C,2147,7,4,victorian,545399
3835,C,2001,4,2,ranch,508803
752,A,3131,5,3,victorian,789195
5598,B,1075,2,1,lodge,542430
2987,B,2052,4,2,ranch,1024327
7919,C,2195,4,2,ranch,556915
1593,A,2679,5,3,victorian,677099
1310,B,4863,6,4,victorian,2410454
7689,B,1060,2,1,ranch,535035
4842,B,1204,2,1,lodge,606027
2944,C,1266,3,2,ranch,326439
