positionId,positionName,companyId,companyLogo,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,skillLables,positionLables,industryLables,createTime,formatCreateTime,district,businessZones,salary,workYear,jobNature,education,positionAdvantage,imState,lastLogin,publisherId,approve,subwayline,stationname,linestaion,latitude,longitude,hitags,resumeProcessRate,resumeProcessDay,score,newScore,matchScore,matchScoreExplain,query,explain,isSchoolJob,adWord,plus,pcShow,appShow,deliver,gradeDescription,promotionScoreExplain,isHotHire,count,aggregatePositionIds,famousCompany
6802721,数据分析,475770,i/image2/M01/B7/3E/CgoB5lwPfEaAdn8WAABWQ0Jgl5s31.jpeg,50-150人,"移动互联网,电商",A轮,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",产品|需求|项目类,数据分析,数据分析,"['SQL', '数据库', '数据运营', 'BI']","['电商', '社交', 'SQL', '数据库', '数据运营', 'BI']","['电商', '社交', 'SQL', '数据库', '数据运营', 'BI']",2020/3/16 11:00,11:00发布,余杭区,['仓前'],37500,1-3年,全职,本科,五险一金、弹性工作、带薪年假、年度体检,today,2020/3/16 11:00,12022406,1,,,,30.278421,120.005922,,50,1,233,0,15.101875,,,,0,0,,0,0,0,,,0,0,[],FALSE
5204912,数据建模,50735,image1/M00/00/85/CgYXBlTUXeeAR0IjAABbroUk-dw977.png,150-500人,电商,B轮,"['年终奖金', '做五休二', '六险一金', '子女福利']",开发|测试|运维类,数据开发,建模,"['算法', '数据架构']","['算法', '数据架构']",[],2020/3/16 11:08,11:08发布,滨江区,"['西兴', '长河']",15000,3-5年,全职,本科,"六险一金,定期体检,丰厚年终",disabled,2020/3/16 11:08,5491688,1,,,,30.188041,120.201179,,23,1,176,0,32.559414,,,,0,0,,0,0,0,,,0,0,[],FALSE
6877668,数据分析,100125,image2/M00/0C/57/CgqLKVYcOA2ADcFuAAAE8MukIKA745.png?cc=0.8089290193747729,2000人以上,"移动互联网,企业服务",上市公司,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",产品|需求|项目类,数据分析,数据分析,"['数据库', '数据分析', 'SQL']","['数据库', 'SQL']",[],2020/3/16 10:33,10:33发布,江干区,"['四季青', '钱江新城']",3500,1-3年,全职,本科,五险一金 周末双休 不加班 节日福利,today,2020/3/16 10:33,5322583,1,4号线,江锦路,4号线_城星路;4号线_市民中心;4号线_江锦路,30.241521,120.212539,,11,4,80,0,14.972357,,,,0,0,,0,0,0,,,0,0,[],FALSE
6496141,数据分析,26564,i/image2/M01/F7/3F/CgoB5lyGAQGAZeI-AAAdOqXecnw673.jpg,500-2000人,电商,D轮及以上,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']",开发|测试|运维类,数据开发,数据分析,[],['电商'],['电商'],2020/3/16 10:10,10:10发布,江干区,,45000,3-5年,全职,本科,年终奖等,threeDays,2020/3/16 10:10,9814560,1,1号线,文泽路,1号线_文泽路,30.299404,120.350304,,100,1,68,0,12.874153,,,,0,0,,0,0,0,,,0,0,[],TRUE
6467417,数据分析,29211,i/image2/M01/77/B8/CgoB5l1WDyGATNP5AAAlY3h88SY623.png,2000人以上,物流丨运输,上市公司,"['技能培训', '免费班车', '专项奖金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,"['BI', '数据分析', '数据运营']","['BI', '数据运营']",[],2020/3/16 09:56,09:56发布,余杭区,['仓前'],30000,3-5年,全职,大专,五险一金,disabled,2020/3/16 09:56,6392394,1,,,,30.282952,120.009765,,20,1,66,0,12.755375,,,,0,0,,0,0,0,,,0,0,[],TRUE
6882347,数据分析,94826,image2/M00/04/12/CgpzWlXwKIKAaJd9AAARGoomCu4858.jpg?cc=0.6776386289857328,50-150人,"移动互联网,社交",B轮,"['股票期权', '扁平管理', '五险一金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,"['BI', '可视化', '数据分析', '数据库']","['音乐', '直播', 'BI', '可视化', '数据库']","['音乐', '直播', 'BI', '可视化', '数据库']",2020/3/16 09:54,09:54发布,余杭区,,50000,1-3年,全职,本科,团建 野生蹦迪 文艺咖 声音发烧友,threeDays,2020/3/16 09:54,11484869,1,,,,30.275854,119.997073,,16,1,66,0,12.718732,,,,0,0,,0,0,0,,,0,0,[],FALSE
6841659,数据分析,348784,i/image2/M01/AC/0E/CgoB5lvvmFmAH5P5AAA5-5rnZGE002.png,50-150人,"移动互联网,电商",A轮,"['大牛团队', '扁平管理', '年底双薪', '股票期权']",产品|需求|项目类,数据分析,数据分析,[],['工具软件'],['工具软件'],2020/3/16 09:41,09:41发布,萧山区,['宁围'],30000,1-3年,全职,本科,大牛团队 大数据产品,threeDays,2020/3/16 09:41,15009222,1,,,,30.203631,120.247683,,100,1,65,0,12.615116,,,,0,0,,0,0,0,,,0,0,[],FALSE
6764018,数据建模工程师,13163,i/image/M00/4B/5B/Cgp3O1efAWWAC02xAAB2G5qzmHQ810.png,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,建模,"['Hadoop', 'Spark', 'MySQL', 'Oracle']","['云计算', '大数据', 'Hadoop', 'Spark', 'MySQL', 'Oracle']","['云计算', '大数据', 'Hadoop', 'Spark', 'MySQL', 'Oracle']",2020/3/16 11:18,11:18发布,西湖区,"['翠苑', '文一路', '古墩路']",35000,应届毕业生,全职,不限,16-18薪 大数据A股上市公司,today,2020/3/16 11:02,158057,1,2号线,丰潭路,2号线_古翠路;2号线_丰潭路,30.29031,120.11456,,1,1,47,0,3.0332372,,,,1,0,,0,0,0,,,0,0,[],TRUE
6458372,数据分析专家,34132,i/image2/M01/F8/DE/CgoB5lyHTJeAP7v9AAFXUt4zJo4515.png,150-500人,"数据服务,广告营销",A轮,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",产品|需求|项目类,数据分析,其他数据分析,"['数据分析', '数据运营']","['电商', '广告营销', '数据分析', '数据运营']","['电商', '广告营销', '数据分析', '数据运营']",2020/3/16 10:57,10:57发布,余杭区,,60000,5-10年,全职,本科,六险一金、境内外旅游、带薪年假、培训发展,today,2020/3/16 09:51,7542546,1,,,,30.28185,120.01569,,83,1,24,0,1.1419516,,,,0,0,,0,0,0,,,0,0,[],FALSE
6786904,数据分析师,13163,i/image/M00/4B/5B/Cgp3O1efAWWAC02xAAB2G5qzmHQ810.png,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,BI工程师,"['Hive', '数据挖掘', '数据分析', 'SQLServer']","['企业服务', '大数据', 'Hive', '数据挖掘', '数据分析', 'SQLServer']","['企业服务', '大数据', 'Hive', '数据挖掘', '数据分析', 'SQLServer']",2020/3/16 11:18,11:18发布,西湖区,"['翠苑', '文一路', '古墩路']",40000,1-3年,全职,本科,核心业务，季度奖，年终奖,today,2020/3/16 11:02,158057,1,2号线,丰潭路,2号线_古翠路;2号线_丰潭路,30.29031,120.11456,,1,1,18,0,1.177361,,,,0,0,,0,0,0,,,0,0,[],TRUE
